"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"17.10.2022","22.6993","22.5192","22.8629","22.4485","268.31K","0.82%"
"16.10.2022","22.5152","22.5651","22.6404","22.4846","12.73K","0.43%"
"14.10.2022","22.4193","22.6417","22.6937","22.3846","335.30K","-0.88%"
"13.10.2022","22.6178","22.2022","22.7516","22.1066","297.96K","2.05%"
"12.10.2022","22.1643","22.0267","22.2647","21.9548","322.93K","0.69%"
"11.10.2022","22.0122","22.0760","22.3254","21.9850","309.94K","-0.21%"
"10.10.2022","22.0584","22.2236","22.2505","22.0086","314.92K","-0.59%"
"07.10.2022","22.1902","22.4613","22.5532","22.1649","294.13K","-1.11%"
"06.10.2022","22.4387","22.7336","22.8036","22.3549","321.02K","-1.20%"
"05.10.2022","22.7109","22.9116","22.9457","22.5986","312.47K","-0.82%"
"04.10.2022","22.8978","22.6819","22.9436","22.5922","308.16K","1.05%"
"03.10.2022","22.6606","22.4886","22.7022","22.2938","322.44K","0.82%"
"30.09.2022","22.4762","22.4173","22.5942","22.2075","317.15K","0.33%"
"29.09.2022","22.4023","21.9163","22.4339","21.7544","338.08K","2.28%"
"28.09.2022","21.9023","21.8666","22.2004","21.5495","349.05K","0.25%"
"27.09.2022","21.8472","21.8106","22.0287","21.7308","340.14K","0.25%"
"26.09.2022","21.7931","21.9326","22.1667","21.0413","335.27K","-0.52%"
"23.09.2022","21.9063","22.4578","22.4760","21.8904","296.57K","-2.34%"
"22.09.2022","22.4303","22.5597","22.6043","22.4089","297.02K","-0.49%"
"21.09.2022","22.5405","22.7626","22.7831","22.5028","274.47K","-0.87%"
"20.09.2022","22.7387","22.7819","22.9027","22.7006","220.61K","-0.08%"
"19.09.2022","22.7565","22.8748","22.9472","22.7541","202.70K","-0.44%"
"16.09.2022","22.8582","23.0198","23.0514","22.8378","226.67K","-0.60%"
"15.09.2022","22.9968","23.0267","23.0893","22.9540","244.90K","-0.02%"
"14.09.2022","23.0011","23.0774","23.1958","22.9942","257.32K","-0.25%"
"13.09.2022","23.0578","23.1782","23.3020","23.0533","238.97K","-0.40%"
"12.09.2022","23.1509","23.0608","23.2530","23.0533","183.22K","0.52%"
"09.09.2022","23.0303","22.9706","23.1719","22.9545","241.14K","0.35%"
"08.09.2022","22.9499","23.0298","23.1362","22.9268","238.07K","-0.29%"
"07.09.2022","23.0168","23.1926","23.2097","22.9235","245.96K","-0.64%"
"06.09.2022","23.1659","23.0317","23.2615","23.0266","260.78K","0.69%"
"05.09.2022","23.0078","22.9753","23.0543","22.8575","190.75K","0.33%"
"02.09.2022","22.9323","23.2981","23.3391","22.9435","218.42K","-1.50%"
"01.09.2022","23.2819","23.4088","23.4794","23.2733","249.53K","-0.51%"
"31.08.2022","23.4007","23.4900","23.5506","23.3360","234.66K","-0.33%"
"30.08.2022","23.4790","23.4442","23.5539","23.3326","251.16K","0.26%"
"29.08.2022","23.4187","23.5362","23.5462","23.3834","198.27K","-0.40%"
"26.08.2022","23.5116","23.5860","23.6632","23.4169","190.17K","-0.20%"
"25.08.2022","23.5583","23.4890","23.6143","23.4622","213.19K","0.40%"
"24.08.2022","23.4643","23.6418","23.6668","23.4426","194.62K","-0.69%"
"23.08.2022","23.6277","23.7011","23.7593","23.5592","222.53K","-0.25%"
"22.08.2022","23.6865","23.8402","23.9016","23.6586","217.04K","-0.61%"
"19.08.2022","23.8314","24.0040","24.0735","23.8126","219.49K","-0.64%"
"18.08.2022","23.9841","24.0760","24.1392","23.9872","221.82K","-0.31%"
"17.08.2022","24.0579","24.0812","24.2426","24.0543","208.13K","-0.01%"
"16.08.2022","24.0614","23.9149","24.1766","23.8608","200.50K","0.70%"
"15.08.2022","23.8946","24.0822","24.1842","23.8931","177.50K","-0.66%"
"12.08.2022","24.0526","24.3466","24.3598","24.0534","218.72K","-1.16%"
"11.08.2022","24.3361","24.4933","24.5107","24.3052","225.59K","-0.55%"
"10.08.2022","24.4696","24.4346","24.5941","24.3722","249.55K","0.19%"
"09.08.2022","24.4233","24.4648","24.5798","24.4207","215.84K","-0.10%"
"08.08.2022","24.4479","24.6574","24.6840","24.4425","180.00K","-0.78%"
"05.08.2022","24.6405","24.7377","24.7606","24.5177","214.61K","-0.32%"
"04.08.2022","24.7205","24.8624","24.9191","24.5676","222.73K","-0.49%"
"03.08.2022","24.8418","25.3075","25.3256","24.8088","231.23K","-1.74%"
"02.08.2022","25.2807","24.9629","25.3433","24.8908","257.54K","1.33%"
"01.08.2022","24.9480","24.7764","25.0186","24.7386","216.93K","0.77%"
"29.07.2022","24.7578","24.6828","24.8462","24.4745","222.83K","0.32%"
"28.07.2022","24.6787","24.7847","24.8629","24.6213","250.66K","-0.42%"
"27.07.2022","24.7820","24.6098","24.8155","24.5746","207.09K","0.81%"
"26.07.2022","24.5839","24.6556","24.7086","24.5112","214.30K","-0.22%"
"25.07.2022","24.6379","24.6592","24.7290","24.5658","216.84K","0.01%"
"22.07.2022","24.6353","24.7458","24.8032","24.5742","222.47K","-0.37%"
"21.07.2022","24.7260","24.5916","24.7857","24.4480","260.02K","0.62%"
"20.07.2022","24.5748","24.6198","24.7283","24.5021","229.01K","-0.12%"
"19.07.2022","24.6033","24.4689","24.6483","24.3859","213.48K","0.66%"
"18.07.2022","24.4420","24.3363","24.5599","24.2875","206.72K","0.46%"
"15.07.2022","24.3298","24.5951","24.7187","24.3295","225.30K","-1.01%"
"14.07.2022","24.5779","24.6507","24.7960","24.5516","240.97K","-0.23%"
"13.07.2022","24.6352","24.7885","24.8996","24.5970","222.15K","-0.57%"
"12.07.2022","24.7760","24.6516","24.8216","24.6183","226.87K","0.53%"
"11.07.2022","24.6447","24.6126","24.7328","24.5051","210.65K","0.24%"
"08.07.2022","24.5868","24.6688","24.7137","24.4536","242.73K","-0.24%"
"07.07.2022","24.6467","24.6313","24.7801","24.5891","237.28K","0.10%"
"06.07.2022","24.6216","24.5399","24.7531","24.4905","265.52K","0.37%"
"05.07.2022","24.5312","24.5445","24.6318","24.3964","249.54K","0.03%"
"04.07.2022","24.5247","24.5119","24.7034","24.5029","173.82K","0.14%"
"01.07.2022","24.4916","24.4780","24.5501","24.2878","216.68K","0.14%"
"30.06.2022","24.4584","24.4086","24.6422","24.3669","221.27K","0.30%"
"29.06.2022","24.3846","24.5327","24.6084","24.3438","231.65K","-0.52%"
"28.06.2022","24.5126","24.4361","24.5872","24.3470","242.29K","0.39%"
"27.06.2022","24.4176","24.3631","24.5151","24.3459","206.24K","0.32%"
"24.06.2022","24.3401","24.5384","24.6512","24.3505","199.92K","-0.73%"
"23.06.2022","24.5200","24.5966","24.6654","24.4231","254.79K","-0.27%"
"22.06.2022","24.5863","24.7008","24.7651","24.5333","200.44K","-0.43%"
"21.06.2022","24.6932","24.8670","24.8885","24.6800","182.56K","-0.58%"
"20.06.2022","24.8381","24.8797","24.8904","24.7551","179.27K","-0.04%"
"17.06.2022","24.8481","25.2149","25.2629","24.7815","270.92K","-1.37%"
"16.06.2022","25.1940","24.6714","25.4352","24.6072","285.70K","2.19%"
"15.06.2022","24.6544","24.7031","25.0136","24.6327","235.40K","-0.13%"
"14.06.2022","24.6866","24.8155","24.9973","24.6407","236.60K","-0.48%"
"13.06.2022","24.8048","24.6161","24.9360","24.5590","213.07K","0.94%"
"10.06.2022","24.5738","24.5788","24.6663","24.4513","193.50K","0.09%"
"09.06.2022","24.5516","24.5502","24.6205","24.4361","177.29K","0.10%"
"08.06.2022","24.5263","24.6594","24.6866","24.5261","176.20K","-0.49%"
